احلام عفوية وطيبة واحسن من اي شخص وسخ بحكي عليها كلمة وسخة,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
"أحلام  شهرتها ليس بسبب فنها ولكن بسبب خرووجها عن النص ونشاطها في مواقع التواصل واستهبالها  زي الخليل كوميدي في مصر وغيره أقصد الشهره السلبية
هذه المخلوقة لديها مشكلة نفسية مع الحياة أو ما يسمى شبع من بعد فقر
هذه المخلوقة هتكت عرض الفن والأخلاق وحتى الزمالة الفنية
استغرب ان لديها جمهور وهذه المشكلة إذا كانو يشبوهنها أخلاقيا  !!!!!فالمجتمع العربي يعاني من مشاكل وليست مشكلة",N,,,,,,,,,,,,,,,,,N
اني صراحة كنت أكره أحلام بس أحس متغيرة هذي اليام,N,,,,,,,,,,,,,,,,,N
مكروه احلام,P,,,,,,,,,,,,,,,,,P
مشكلة الفنانين المصريين ولبنانيين انهم يعتقدو انهم نخبة الفن العربي واي فن عربي اخر هو مستوي ثاني مايعرفو يحترمو حدا مثلا المصربين العرب ما يعترفو بالراي مع انو الراي اشهر غناء عربي لو رحت اوربا وسالتهم عن الشاب خالد يعرفوه ولو سالت عن فنان عربي اخر نادر ما يعرفوه....,N,,,,,,,,,,,,,,,,,N
اللهم إني أسألك العفو والعافية في الدنيا والآخرة,N,,,,,,,,,,,,,,,,,N
بصراحة يا أخي الكريم ، للاسف ٩٧٪ من الاعلام العربي اعلام موجه ورخيص ومخجل ومافي احترافية ويستخف بعقل المشاهد وللاسف كثير من المشاهدين غير مدركين لهدف الرسالة التي يقدمها الاعلام العربي وهي مدفوعة التكلفة اصلا من جهات يهمها ان تظل المشاهد وهو الشعب مخدرا ومنوما وما يصحي ابدا ولا يعي.,N,,,,,,,,,,,,,,,,,N
تسلم ضحكة حسن الشافعي,N,,,,,,,,,,,,,,,,,N
بتحكي شامي دخيل الله ههههه,N,,,,,,,,,,,,,,,,,N
احلاااااام بكرهككككك,P,,,,,,,,,,,,,,,,,P
اول شي صحيح لو تساوت الاذواق لبارت السلع ،،،ولكن اتعجب من هذا الزمان اللي ماعندهم اذان موسيقية او كما يقال سميعة شنو احلام شنو راغب كلهم اصوات نشاز وموسيقى نشاز هل تريدون تعرفون من هم الاصوات الحلوة ،،ام كلثوم اسمهان عبدالوهاب فريد عبد الحليم فاءزة وردة هدى سلطان سيد مكاوي فيروز ناظم الغزالي رياض احمد يوسف عمر وووالخ ومن الجيل الجديد فقط اصالة فقط لان صوتها وقوته لامثيل له الان انا اتكلم كسميع ليس كباقي الناس مع احترامي لذوقهم ولكن ليسو بسميعة اي هوسة وضجيج فقط ،،ولا انسا زهور حسين وياس خضر وسعدي وداخل حسن وعوض دوخي والسوري العملاق ابو كلثوم صباح فخري وانتم اتحدى اي واحد منكم أن ينتقد هاؤلاء حتى لو لايحبهم لانو هم مدارس لن تتكرر وبالاخير هل تعلمون ما هو اجمل صوت في العالم انه صوت عبد الباسط قارء القراءن الكريم الله اراده هكذا لانه كلام الله فلا يعلا عليه ،،،انا قصدي كدراسة سمعية مو على كيفك وكيفي وانا انسان بسيط بس اتوقع انا سميع,N,,,,,,,,,,,,,,,,,N
هذي احلام مشاركه وانت ماتستحي كل هذي غيره وحسد,N,,,,,,,,,,,,,,,,,N
بعد تحلف بالله اكذب امرأة على وجه الأرض,P,,,,,,,,,,,,,,,,,P
احبك احالام,N,,,,,,,,,,,,,,,,,N
بلا كزب لجذب المنافقين امثال صاحب القناة وهذا دليل على نجاح احلام,P,,,,,,,,,,,,,,,,,P
هناك تعليق بيقول احلام مسخره لا تخلوها في اراب ايدول 4 بالعكس سبيل نجاح اراب ايدول هوا احلام ومن غيرها البرنامج زيرو انا شخصيا بحبها قوي,N,,,,,,,,,,,,,,,,,N
و رديت مرة ثانية 😂,N,,,,,,,,,,,,,,,,,N
بدأ الموسم وانت تقول لن تستطيع 😂,N,,,,,,,,,,,,,,,,,N
هههههههههههههههههههههه,N,,,,,,,,,,,,,,,,,N
فين هوا المشكل ملكة عن جدارة واستحقاق 😘😘😘😘😘😘😘😘😘😘😘,N,,,,,,,,,,,,,,,,,N
ههههههههه,N,,,,,,,,,,,,,,,,,N
هههههه ولا حدا عاجبها,N,,,,,,,,,,,,,,,,,N
بيعجبني شيئ واحد باحلام انها صريحة و مابتخاف من حدا بنوب غير من الله,N,,,,,,,,,,,,,,,,,N
يخخخخخخخخ,N,,,,,,,,,,,,,,,,,N
"احلام صريحه وعفويه وملكه بجد ليه كلكون بتحاربوها لو نانسي او هيفا محد حارربها 
تحياتي للملكه احلام",N,,,,,,,,,,,,,,,,,N
من لبنان تحية للملكة وفنانة العرب احلام,N,,,,,,,,,,,,,,,,,N
أحلام فنانه طيبه علي نيتها وبتساعد الناس وانا بحبها علشان علي طبيعيتها,N,,,,,,,,,,,,,,,,,N
أحلى مليكة 😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚,N,,,,,,,,,,,,,,,,,N
الى هذه الدرجة انتم تموتون من المرى,N,,,,,,,,,,,,,,,,,N
احلام انتي ليش الناس ماتحبك لين محترمه الناس ايحبون مثل اليسا وهيفاء ومريام فارس,N,,,,,,,,,,,,,,,,,N
ألو,N,,,,,,,,,,,,,,,,,N
خلي تولي لا شارك خلي يخلون واحد عراقي مثلن ماجد المهندس حاتم العراقي والله احسن من هاي,N,,,,,,,,,,,,,,,,,N
علساس انتي هسه فنانه انتي داكوكه وبس,P,,,,,,,,,,,,,,,,,P
صحيح اختلط السياسه بالفن واصبح انت مع مين وعلى هذ الاساس تختتار فنانك .. بصراحه سوف يتحول الشباب على الفن الغربي بسبب غباء وكبرت الفنانين عنده ومن الملاحظ اختفاء الاغنيه السنويه.. يعنه كل سنه كانت تطلع اغنيه او كتر اترن وتنتشر بالوطن العربي من جمال الكلمات والاحان...للخ اليوم ولا اغنيه من عدة سنوات حازت على اعجاب الوطن العربي ..,N,,,,,,,,,,,,,,,,,N
والله يعالم احلام طيبه ومحترمه عايشه على النيه شوف ننسي تفكرساعه قبل ماتتكلم  الإعلام البنانين فاشل وقذر وزباله وأولهم نظام الأحمدية وكل لبنان تعرف هذا الشيء احلام جايه من صحراء قاحله الي انتم تعرفوا قيمتها لهذي الصحراء احلام ملكه بصرحتها وهي انسانه لازم تقلط يعني انتم متكاملين ما بتقلطوا اسألوا أنفسكم هل نحن مانقلط مستحيل احلام فنانه محترمه وجمهرها أكبر من الي يسبوها انا الي قهرني انتم ليش تسبوها وش دخلكم بالحرمة عندها عيالها وزوجها ومش سأله عليكم وخلوا الحمقات,P,,,,,,,,,,,,,,,,,P
"احلام هذي ماعندها غير الجللد

كفو والله",P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ما شاء الله عليك يا أخي ربنا يبارك فيك,N,,,,,,,,,,,,,,,,,N
عندها حق كل الاسالة لي طرحوها الصحافة زفت,N,,,,,,,,,,,,,,,,,N
احلام كوني صامدا انا من الجزاير واشجعك لا تدعيهم يدمرونك,N,,,,,,,,,,,,,,,,,N
جد شمس ماعند ولا غنية تنسمة هية نشهرت من ورة احلام,N,,,,,,,,,,,,,,,,,N
فيديو فاشل,N,,,,,,,,,,,,,,,,,N
شكرا😅😅👍,N,,,,,,,,,,,,,,,,,N
هههههههه😂😂😂👌,N,,,,,,,,,,,,,,,,,N
غثييييييثة لأبعد حد ...,P,,,,,,,,,,,,,,,,,P
هههههههههههههههههههه,N,,,,,,,,,,,,,,,,,N
نقطة ضعف احلام هي شعبيتها المبالغ ما تعرف التمثيل صريحه زياده عن اللزوم ياريت تشوف وتقرا تعليقي انت نيتك صافيه بس الناس ما تقدر فعليك اشويه بالتصرف الاصطناعي ما يصير امام الجمهور تتصرفين  مثلما تتصرفين ببيتك لكل كلام مكانو وزمانو يا بنتي الحياة مدرسه دروسها التجارب فبعد الان لازم تعرفين بعد ما تكر رين الخطاء,N,,,,,,,,,,,,,,,,,N
مع احترامي للبرامج ما الها معنى و مش بالمستوى المطلوووب,N,,,,,,,,,,,,,,,,,N
"فعلا كلامك صح 100%
للاسف ما حدا ماكلها غير هالشعب المعتر",N,,,,,,,,,,,,,,,,,N
ههههههههه منيح متحملك زوجك 👀,N,,,,,,,,,,,,,,,,,N
ههههههههه اخ يا قلبي والله نهفة احلام,N,,,,,,,,,,,,,,,,,N
"عنجد ما بعرف احلام عندها انفصام 
في تناقد 😵😵
كل ساعة شي",N,,,,,,,,,,,,,,,,,N
"فعلا مش بنفوذها ومالها و شكلها 
الملوكية بالاخلاق و الاحترام وبس",N,,,,,,,,,,,,,,,,,N
ana bahabike ktire inti malikate molouke habibti ahlame,N,,,,,,,,,,,,,,,,,N
"أنا غير ممكن ان أتصور عرب ايدول من غير احلام 
عنجد يصير كتير جامد و ما حلو 
حبيبتنا احلام هي مشعله البرنامج بحلاوة روحها و خفة دمها ♡♡♡",N,,,,,,,,,,,,,,,,,N
احلام لم تعد ملكه تم ازالة هاذا القب من شعب الامارات و ايضا من اتصال لزوجة حاكم دبي الشيخ محمد بن راشد المكتوم   التي هي من امرت قناه ابو ظبي بازالة برنامج ذا كوين  و احلام قطعت عن الانستا و قالت انا حواصل حياتي حتى بعد ازالة القب,N,,,,,,,,,,,,,,,,,N
انتم على كلامكم هدا عن هذه المراة. تهدولها حسناتكم. على طبق اتقو لله وخليكم.من الغيبة. و فضح الناس,N,,,,,,,,,,,,,,,,,N
احبج يا احلام الورده مال كل للفنانات,N,,,,,,,,,,,,,,,,,N
انا الكويتي عدنان قاسم ..شزينها الاغاني المحبوبة الفنانة احلام ...اما شمس مايندره عنها متى هيا اطلعت ..حتى اسمها شمس موحلو .ههههاي .,N,,,,,,,,,,,,,,,,,N
مادري مخبله وله مادري شسميهه الله يشفيهه,P,,,,,,,,,,,,,,,,,P
احلام فنانة العرب ، تحية الها,N,,,,,,,,,,,,,,,,,N
ختولي الشاركت برنامج ولما شركت ماكو غيره,N,,,,,,,,,,,,,,,,,N
احلام فنانه محترمه ... وشمس من اسوا فنانه,N,,,,,,,,,,,,,,,,,N
ياليت انها ماتشترك نبغا نتابع البرنامج ولو شاركت احلام والله ما نتابع,N,,,,,,,,,,,,,,,,,N
الله يشفي كل مريض  فيه كرسي شاغر في شهار ارى حجزه للطقاقة أفلام .,N,,,,,,,,,,,,,,,,,N
نانسي  حلوه,N,,,,,,,,,,,,,,,,,N
نانسي,N,,,,,,,,,,,,,,,,,N
مع نفسها عبيطه جداً,P,,,,,,,,,,,,,,,,,P
"البرنامج بدون كبير ماله قيمه 

احلام قيمه وتاريخ وتواجدها بالبرنامج زاد البرنامج",N,,,,,,,,,,,,,,,,,N
روعةة,N,,,,,,,,,,,,,,,,,N
انا ما تعجبني احلام,N,,,,,,,,,,,,,,,,,N
ما احبها,N,,,,,,,,,,,,,,,,,N
هههه احلام خليفة معمر القذافى الله يرحم و يغفر له,N,,,,,,,,,,,,,,,,,N
كل مابتقدو فيكي بنحبك اكتر ياملكه ع فكره كل الاضواء عليكي السنه نجاحك ياملكه صار اكبر المعجبين,N,,,,,,,,,,,,,,,,,N
انا معك يا احلام ملكة الغناء الخليجي مافي اجمل من صوتك,N,,,,,,,,,,,,,,,,,N
شمس احلام وكل الفنانيين تبرعو بكل فلوسكم للفقراء وتوبو الى الله,N,,,,,,,,,,,,,,,,,N
السوده الزركه,P,,,,,,,,,,,,,,,,,P
والله انها اتخوف العيال,N,,,,,,,,,,,,,,,,,N
"بسراحه انا ما اغار من احلام ليش اصلا اتغارون من احلام اذا كان صوتها حلو ندرب علشان يكون صوتنا حلو وذا كنت تحسدونها على اموالها تذكرو يا اخواتي و اخواني ان الغناء بالمال لا ياسوي الغناء بالقلب ان كان قلبك غنيا بالايمان اصبحة تشع بايمانك والله اني يا احلام احبك وانا اعلم ان قلبكي رائع وصوتك رائع لكن انا ما احب الاغاني و المسيقى ونصيحه للمغنيات انكم ما تسو عمليات تجميل لان الجمال لا يكون بالوجه او اجسم و غيرها الجمال الحقيقي هو القلب ان كان قلبك غنيا اصبحة غنيا بالايمان 
وسلام عليكم",N,,,,,,,,,,,,,,,,,N
انتي صوتك مراه يعني الله يغسلك ما بين النسوان حافظه القران وبصلي صدقتك عبد الباسط ليش ما بتحجبي وكيلو مكياج وبظلط  وبا,N,,,,,,,,,,,,,,,,,N
يبغون الشهرة  بمجرد ذكر احلام,N,,,,,,,,,,,,,,,,,N
ياااااشيخه اتقى ربك,N,,,,,,,,,,,,,,,,,N
انا بحبك يا احلام بحببببببكككككككك,N,,,,,,,,,,,,,,,,,N
أحلام طيبة جداا,N,,,,,,,,,,,,,,,,,N
روحو شوفو فضائح الفنانات المصريات والسوريات ..ليش مخلين بالكم مع احﻻم  على اﻻقل هي فنانة غير خليعة وشريفة ليش متكتبون عن سخافة وخﻻعة ميريام فارس مثﻻ..احﻻم اشرف فنانة,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ههههههههه,N,,,,,,,,,,,,,,,,,N
"Arab idol من دون الفنانه والملكه احلام بالموسم الرابع رح يكون مو حلو 
وحتكون اللجنه ناقصه بدونها",N,,,,,,,,,,,,,,,,,N
لعما  شو بايخا  شو عرفك بلجنا,N,,,,,,,,,,,,,,,,,N
جيبولها كنتاكي لا تكوم تاكلنه ولا تزعلين عدمه بيزه تريدين🍕🍕🍕🍕😆,N,,,,,,,,,,,,,,,,,N
العما شقد بكرهك,P,,,,,,,,,,,,,,,,,P
احبك يا نانسي عجرم احبك موووت😘,N,,,,,,,,,,,,,,,,,N
احلام ما خلت ولا نجم بحاله,N,,,,,,,,,,,,,,,,,N
احلام فنانه طيبه ولاكن دائما تنتقد الناس ولهذا السبب تخلي الناس يكرهونها,N,,,,,,,,,,,,,,,,,N
عود هية ليش مكروهة اريد افتهم احد يكلي,N,,,,,,,,,,,,,,,,,N
"اللهم ثبتنا يوم تزل الاقدام خريجه شريعه وحافظه القران
يامقلب القلوب ثبت قلبي على دينك",N,,,,,,,,,,,,,,,,,N
الحمد لله ربي كرمنا بالعقل,N,,,,,,,,,,,,,,,,,N
احلام,N,,,,,,,,,,,,,,,,,N
قريت التعليقات والله عيب وحرام ماتعجبكم مامجبورين تطالعونها لويش هل غلط هاذي أخلاق مع أحتراماتي لايتعالج الغلط بلغلط الله يهديه والإنسان اليغلط يضر نفسه لايضر غيره انصحوا أفضل من الغلط لا صوته كولش حلو بس عيبه شويه عفويه والناس تكول عليه همجيه تنقصها الثقافه,N,,,,,,,,,,,,,,,,,N
احب انطي رايي بصراحه وبصدق على شنو الغيره احلام قد تكون عفويه على الفطره بس الناس ماترحم هيجي إنسان ومن داخلها إنسان بسيط وطيوبه الكلمه اللي في قلبها على لسانها لأتعرف التملق لكن ارجع الناس ماترحم هيجي انسان لازم تتغير اسلوبه الى متى تبقى هيجي ينقصها الاسلوب والتسرع وما أجرح اي انسان كائن من يكون وهيه حره بلبسه بتصرفاتها وارجع واقول ثروتها هيه سبب غيرة بعض الناس وتعرضها لنقد والحقد والحسد جائت ثروتها من تعبها وهيه بنت الخليج المدلله لكن ارجع وأقول على ماذا ملكه الصوت يوجد كثير من المطربات أحلى من صوتها انا أقول لثروتها صحيح صوتها جميل وانا احبه بس تنقصها الثقافه باسلوبها وبتصرفاتها صوت رياب الله يرحمها اجمل وأقوى من صوتها كلام الحق لايزعل السبب هيه ثروتكي يااحلام انتي ملكه فقط وراغب علامه فنان وله جمهوره وأقدم منكي حضورا وصوتا وثقافة فلماذا تحشرين انفكي بكل شيء وكأنك تعرفين كل شيء وتعرضين نفسكي لسخريه ولنقد كوني لطيفه وانيقه ليس بلبسكي بل بأسلوبكي اي شيء يطرأ على بالك.تقولينه او تفعلينه أحنه بزمان النقد لايسلم أحد من النقد الا تحذري؟؟؟؟؟؟؟,N,,,,,,,,,,,,,,,,,N
منقهرين من احلام طيب على تبن,N,,,,,,,,,,,,,,,,,N
".
انا ضد تصرفات احلام بس ليه اسب واشتم وفي النهاية سيئات ومحد درا عني 😂
ونسيتم اهم نقطة....الوسط الفني كله قذارة ووساخة",N,,,,,,,,,,,,,,,,,N
تضربي انت واللي غاير منك على شو بدن يغاروا على جمالا,N,,,,,,,,,,,,,,,,,N
احلام انتي من اجمل  الفنانات العرب واحبك مووووووت 💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋,N,,,,,,,,,,,,,,,,,N
أحلام وبس,N,,,,,,,,,,,,,,,,,N
انا مالي علاقه بالغناء وم اسمع الحمدلله لاكن الي م يحب شخص يتكلم فيه ويشتمه و يضره بكلامه اوغيره هاذا يدل على احترامك انت اذا كلامك محترم ونقدك فأنت شخص محترم اما إذا العكس فأنت شخص سيء اتمنى ان الشخص السيء يفكر مع نفسه ويقرر انت وش بتستفيد من كل ذا؟ بأختصاار جمعت ذنوب,N,,,,,,,,,,,,,,,,,N
احترمو نفسكم لا تعيبون ع احلام,N,,,,,,,,,,,,,,,,,N
مريضه جدااااااااااا👎👎👎👎,P,,,,,,,,,,,,,,,,,P
ههههههههه احجي عدل مو تعتعين بس اه اه اه اه شنووو اه احجي عدل ام غسل اله كضهه وجوياها لا تغارين عيوني روحي يم حديقه حيوانات  احسلج يا جكمه عيوني روحي تولي ام غسل اي ولللا 😕😕اوك روحي 👍,P,,,,,,,,,,,,,,,,,P
والله حرام تمساك مايك احلام,N,,,,,,,,,,,,,,,,,N
الفن رساله إنسانيه قبل ان يكون طربيه والدليل ان الفن يحتوي انواع عديده مثل الغناء والتمثيل ومهرجانات وسينما وغيرها ومن هنا الفنان بين حالتين اما واعي ومثقف حاله جيدا او وسط او بسيط ولكل فنان عليه واجبات وحدود للحديث مع الآخرين وخاصة الصحافه التي تمثل الجمهور وبالتالي هو الذي يقيم وللأسف الشديد تأثر الفن بالأحداث السياسيه مما أدى الى انسياق البعض الى التزمت ونسيان رسالته الحقيقيه الإنسانيه ونأمل وبكل حسن وصفاء نيه ان تعاد العلاقه الإنسانيه الجميله الذي تمتع بها جمهور كبير الى الواجهة وطئ صفحه من الماضي ونسيانها رغبة بالمحبه والاحترام المتبادل وحدوده,N,,,,,,,,,,,,,,,,,N
تصلي وتصوم وتقوم بالفرايض.  وتغني وترقص كيف افهمها.  ؟؟؟؟؟؟؟؟,N,,,,,,,,,,,,,,,,,N
اتوقع افضل بديل نوال الكويتية لازم يكون فرع خليجي بالارب أيدول,N,,,,,,,,,,,,,,,,,N
ايمت يطلع ارب ايدل 4,N,,,,,,,,,,,,,,,,,N
بلا قله حيااء انتوا وياه اللي تسب وتسوي حركاتت ممبزره ويعنني .,N,,,,,,,,,,,,,,,,,N
المشكله المشكله ان هي تسب من هب ودب  والا شفتو الفنانه  شمس قالت ماعندي مشكله معاها هي عنده مشكله معاي لانه طبعا هذه اخلاق المثقفين السب شي تخلف حتى ولو عندي مشكله مع الاخر,N,,,,,,,,,,,,,,,,,N
هههههههههههههههه فاشله,N,,,,,,,,,,,,,,,,,N
احسن,N,,,,,,,,,,,,,,,,,N
أحلام فنانة محترمة راقية,N,,,,,,,,,,,,,,,,,N
انا دراسة في كلية الشريعة الاسلامية وبقوم بكل الفرائض بصلي وصوم ههههه ضحكي على طفل عمرة سنتين بهاي,N,,,,,,,,,,,,,,,,,N
والله انها لمن تتكلم أنحرج😳😳😳,N,,,,,,,,,,,,,,,,,N
رح ازوع,N,,,,,,,,,,,,,,,,,N
اولا راغب علامة فنان متزن و المطربة احلام اللي اكيد هية عندها عفة وشرف لانها سترت نفسها وجلست في بيت زوجها وماعرضت نفسها حتى في غرفة نومها مشكلتها مع راغب وكل الشعوب الطيبة انهم لايدعمون داعش ولا ارهاب حكام الخليج اللذين غنت احلام لهم ان اسحقوا شعب اليمن وكل من يعارض سياسة ملوك البترول,N,,,,,,,,,,,,,,,,,N
فشختيني 😂😂😂😂 شو هاد هههههه عيب,N,,,,,,,,,,,,,,,,,N
والله حرم للي تحكي على  أحلام هي إنسانه محترمه  وبريئه,N,,,,,,,,,,,,,,,,,N
شنو هالغرور الملكة ملكة على روحهة مو على الناس اموت منهة ومن الخليج كلة,N,,,,,,,,,,,,,,,,,N
خلوا بالكم انه ليس من اخلاق الاسلام ولا المسلمين فضح اعراض الناس هذا ليس سهل عند الله وعليكم النصيحه بمواجهة من تحب فى منزله وبالقران فقط   وذكر بالقران ولست عليهم بمسيطر وايات كثيره تنبهنا لاتضع نفسك مكان الحكم العدل ولكن اعترض بدون ان تفضح اعراض احد بنشر فديوهات  لاء وانت مش دارى انت بتخلى كلنا نشوفها فيه ناس مش بتشوفها نصيحه لكن بتشوفها شهوه يبئا سيادتك ساعدت على نشر عوره  وتحريك شهوه وفضح عرض  احكم انت بنفسك على نفسك لو انت مسلم حق وليس شخص محرض على هدف معين غير دين الله واوعظهم بالموعظة الحسنه والموعظه الحسنه هى حسن الاخلاق فى النشر والكلام حتى لاتساعد على تشويه دين الله وتجعل ناس كتير تنفر من الدين الاسلامى هذه نصيحه من رجل انت متعلم احسن منى,N,,,,,,,,,,,,,,,,,N
